Sex;Autonomous Communities;Measurements and percentiles;Periodo;Total
Both genders;National Total;Average;2024;29.540,26
Both genders;National Total;Average;2023;28.049,94
Both genders;National Total;Average;2022;26.948,87
Both genders;National Total;Average;2021;25.896,82
Both genders;National Total;Average;2020;25.165,51
Both genders;National Total;Average;2019;24.395,98
Both genders;National Total;Average;2018;24.009,12
Both genders;National Total;Average;2017;23.646,5
Both genders;National Total;Average;2016;23.156,34
Both genders;National Total;Average;2015;23.106,3
Both genders;National Total;Average;2014;22.858,17
Both genders;National Total;Average;2013;22.697,86
Both genders;National Total;Average;2012;22.726,44
Both genders;National Total;Average;2011;22.899,35
Both genders;National Total;Average;2010;22.790,2
Both genders;National Total;Average;2009;22.511,47
Both genders;National Total;Average;2008;21.883,42
Both genders;National Total;10th Percentile;2024;12.018,46
Both genders;National Total;10th Percentile;2023;11.466,88
Both genders;National Total;10th Percentile;2022;10.657,37
Both genders;National Total;10th Percentile;2021;10.192,38
Both genders;National Total;10th Percentile;2020;9.586,51
Both genders;National Total;10th Percentile;2019;8.943,26
Both genders;National Total;10th Percentile;2018;8.457,36
Both genders;National Total;10th Percentile;2017;8.583,81
Both genders;National Total;10th Percentile;2016;8.095,44
Both genders;National Total;10th Percentile;2015;7.962,45
Both genders;National Total;10th Percentile;2014;7.626,2
Both genders;National Total;10th Percentile;2013;7.692,3
Both genders;National Total;10th Percentile;2012;7.979,4
Both genders;National Total;10th Percentile;2011;8.402,15
Both genders;National Total;10th Percentile;2010;8.643,66
Both genders;National Total;10th Percentile;2009;8.723,15
Both genders;National Total;10th Percentile;2008;8.903,52
Both genders;National Total;25th Percentile;2024;17.457,47
Both genders;National Total;25th Percentile;2023;16.632,97
Both genders;National Total;25th Percentile;2022;15.913,52
Both genders;National Total;25th Percentile;2021;15.215,03
Both genders;National Total;25th Percentile;2020;14.641,96
Both genders;National Total;25th Percentile;2019;14.271,06
Both genders;National Total;25th Percentile;2018;13.998,29
Both genders;National Total;25th Percentile;2017;13.897,22
Both genders;National Total;25th Percentile;2016;13.369,74
Both genders;National Total;25th Percentile;2015;13.414,92
Both genders;National Total;25th Percentile;2014;13.217,84
Both genders;National Total;25th Percentile;2013;13.039,36
Both genders;National Total;25th Percentile;2012;13.369,45
Both genders;National Total;25th Percentile;2011;13.553,97
Both genders;National Total;25th Percentile;2010;13.602,53
Both genders;National Total;25th Percentile;2009;13.587,26
Both genders;National Total;25th Percentile;2008;13.342,53
Both genders;National Total;50th Percentile;2024;24.497,17
Both genders;National Total;50th Percentile;2023;23.349
Both genders;National Total;50th Percentile;2022;22.383,11
Both genders;National Total;50th Percentile;2021;21.638,69
Both genders;National Total;50th Percentile;2020;20.920,12
Both genders;National Total;50th Percentile;2019;20.351,02
Both genders;National Total;50th Percentile;2018;20.078,44
Both genders;National Total;50th Percentile;2017;19.830,12
Both genders;National Total;50th Percentile;2016;19.432,62
Both genders;National Total;50th Percentile;2015;19.466,49
Both genders;National Total;50th Percentile;2014;19.263,78
Both genders;National Total;50th Percentile;2013;19.029,66
Both genders;National Total;50th Percentile;2012;19.040,98
Both genders;National Total;50th Percentile;2011;19.303,51
Both genders;National Total;50th Percentile;2010;19.017,09
Both genders;National Total;50th Percentile;2009;18.803,28
Both genders;National Total;50th Percentile;2008;18.244,4
Both genders;National Total;75th Percentile;2024;36.969,61
Both genders;National Total;75th Percentile;2023;34.991,64
Both genders;National Total;75th Percentile;2022;33.561,62
Both genders;National Total;75th Percentile;2021;32.385,45
Both genders;National Total;75th Percentile;2020;31.550,01
Both genders;National Total;75th Percentile;2019;30.558,45
Both genders;National Total;75th Percentile;2018;30.057,33
Both genders;National Total;75th Percentile;2017;29.628,64
Both genders;National Total;75th Percentile;2016;29.191,56
Both genders;National Total;75th Percentile;2015;29.163,66
Both genders;National Total;75th Percentile;2014;28.782,7
Both genders;National Total;75th Percentile;2013;28.563,69
Both genders;National Total;75th Percentile;2012;28.395,5
Both genders;National Total;75th Percentile;2011;28.658,66
Both genders;National Total;75th Percentile;2010;28.255,45
Both genders;National Total;75th Percentile;2009;28.024,86
Both genders;National Total;75th Percentile;2008;26.874,02
Both genders;National Total;90th Percentile;2024;52.515,27
Both genders;National Total;90th Percentile;2023;49.836
Both genders;National Total;90th Percentile;2022;48.217,21
Both genders;National Total;90th Percentile;2021;46.430,36
Both genders;National Total;90th Percentile;2020;45.359,96
Both genders;National Total;90th Percentile;2019;44.127,12
Both genders;National Total;90th Percentile;2018;43.382,16
Both genders;National Total;90th Percentile;2017;42.454,21
Both genders;National Total;90th Percentile;2016;41.855,38
Both genders;National Total;90th Percentile;2015;41.648,67
Both genders;National Total;90th Percentile;2014;41.350,36
Both genders;National Total;90th Percentile;2013;41.108,4
Both genders;National Total;90th Percentile;2012;40.807,99
Both genders;National Total;90th Percentile;2011;40.680,54
Both genders;National Total;90th Percentile;2010;40.811,42
Both genders;National Total;90th Percentile;2009;40.123,94
Both genders;National Total;90th Percentile;2008;38.558,29
Both genders;Andalucía;Average;2024;26.089,7
Both genders;Andalucía;Average;2023;25.051,51
Both genders;Andalucía;Average;2022;24.094,32
Both genders;Andalucía;Average;2021;23.154,99
Both genders;Andalucía;Average;2020;22.323,85
Both genders;Andalucía;Average;2019;22.060,99
Both genders;Andalucía;Average;2018;21.805,92
Both genders;Andalucía;Average;2017;21.404,28
Both genders;Andalucía;Average;2016;21.268,41
Both genders;Andalucía;Average;2015;21.381,03
Both genders;Andalucía;Average;2014;20.840,3
Both genders;Andalucía;Average;2013;20.782,03
Both genders;Andalucía;Average;2012;20.891,63
Both genders;Andalucía;Average;2011;21.350,98
Both genders;Andalucía;Average;2010;20.964,36
Both genders;Andalucía;Average;2009;20.906,33
Both genders;Andalucía;Average;2008;20.138,56
Both genders;Andalucía;10th Percentile;2024;10.567,11
Both genders;Andalucía;10th Percentile;2023;10.276,37
Both genders;Andalucía;10th Percentile;2022;9.822,45
Both genders;Andalucía;10th Percentile;2021;9.072,77
Both genders;Andalucía;10th Percentile;2020;8.336,04
Both genders;Andalucía;10th Percentile;2019;8.185,05
Both genders;Andalucía;10th Percentile;2018;7.438,62
Both genders;Andalucía;10th Percentile;2017;7.836,76
Both genders;Andalucía;10th Percentile;2016;7.427,89
Both genders;Andalucía;10th Percentile;2015;7.438,69
Both genders;Andalucía;10th Percentile;2014;6.741,52
Both genders;Andalucía;10th Percentile;2013;7.066,88
Both genders;Andalucía;10th Percentile;2012;7.393,08
Both genders;Andalucía;10th Percentile;2011;7.440,95
Both genders;Andalucía;10th Percentile;2010;7.418,63
Both genders;Andalucía;10th Percentile;2009;7.757,16
Both genders;Andalucía;10th Percentile;2008;8.153,42
Both genders;Andalucía;25th Percentile;2024;15.876
Both genders;Andalucía;25th Percentile;2023;15.161,57
Both genders;Andalucía;25th Percentile;2022;14.540,28
Both genders;Andalucía;25th Percentile;2021;14.119,33
Both genders;Andalucía;25th Percentile;2020;13.312,61
Both genders;Andalucía;25th Percentile;2019;13.112,86
Both genders;Andalucía;25th Percentile;2018;12.408,06
Both genders;Andalucía;25th Percentile;2017;12.735
Both genders;Andalucía;25th Percentile;2016;12.212,29
Both genders;Andalucía;25th Percentile;2015;12.454,33
Both genders;Andalucía;25th Percentile;2014;11.937,48
Both genders;Andalucía;25th Percentile;2013;12.012,54
Both genders;Andalucía;25th Percentile;2012;12.321,3
Both genders;Andalucía;25th Percentile;2011;12.510,79
Both genders;Andalucía;25th Percentile;2010;12.556,13
Both genders;Andalucía;25th Percentile;2009;12.816,46
Both genders;Andalucía;25th Percentile;2008;12.906
Both genders;Andalucía;50th Percentile;2024;21.557,4
Both genders;Andalucía;50th Percentile;2023;20.863,77
Both genders;Andalucía;50th Percentile;2022;19.883,6
Both genders;Andalucía;50th Percentile;2021;19.522,21
Both genders;Andalucía;50th Percentile;2020;18.766,66
Both genders;Andalucía;50th Percentile;2019;18.671,83
Both genders;Andalucía;50th Percentile;2018;18.317,19
Both genders;Andalucía;50th Percentile;2017;18.251,94
Both genders;Andalucía;50th Percentile;2016;18.051,91
Both genders;Andalucía;50th Percentile;2015;18.101,7
Both genders;Andalucía;50th Percentile;2014;18.034,03
Both genders;Andalucía;50th Percentile;2013;17.722,42
Both genders;Andalucía;50th Percentile;2012;17.910,11
Both genders;Andalucía;50th Percentile;2011;18.193,56
Both genders;Andalucía;50th Percentile;2010;17.565,81
Both genders;Andalucía;50th Percentile;2009;17.866,08
Both genders;Andalucía;50th Percentile;2008;17.371,95
Both genders;Andalucía;75th Percentile;2024;32.099,35
Both genders;Andalucía;75th Percentile;2023;30.885,6
Both genders;Andalucía;75th Percentile;2022;29.514,63
Both genders;Andalucía;75th Percentile;2021;28.848,29
Both genders;Andalucía;75th Percentile;2020;27.797,64
Both genders;Andalucía;75th Percentile;2019;27.600,38
Both genders;Andalucía;75th Percentile;2018;27.499,97
Both genders;Andalucía;75th Percentile;2017;26.668,08
Both genders;Andalucía;75th Percentile;2016;26.862,33
Both genders;Andalucía;75th Percentile;2015;27.048,58
Both genders;Andalucía;75th Percentile;2014;26.129,25
Both genders;Andalucía;75th Percentile;2013;26.357,12
Both genders;Andalucía;75th Percentile;2012;25.948,92
Both genders;Andalucía;75th Percentile;2011;26.681,9
Both genders;Andalucía;75th Percentile;2010;25.569,75
Both genders;Andalucía;75th Percentile;2009;26.036,43
Both genders;Andalucía;75th Percentile;2008;24.537,31
Both genders;Andalucía;90th Percentile;2024;46.498,34
Both genders;Andalucía;90th Percentile;2023;44.640,51
Both genders;Andalucía;90th Percentile;2022;43.652,87
Both genders;Andalucía;90th Percentile;2021;41.054,13
Both genders;Andalucía;90th Percentile;2020;39.886,81
Both genders;Andalucía;90th Percentile;2019;39.781,75
Both genders;Andalucía;90th Percentile;2018;40.412,36
Both genders;Andalucía;90th Percentile;2017;38.260,58
Both genders;Andalucía;90th Percentile;2016;38.731,32
Both genders;Andalucía;90th Percentile;2015;39.121,07
Both genders;Andalucía;90th Percentile;2014;37.835,52
Both genders;Andalucía;90th Percentile;2013;38.061,86
Both genders;Andalucía;90th Percentile;2012;37.291,48
Both genders;Andalucía;90th Percentile;2011;38.761,2
Both genders;Andalucía;90th Percentile;2010;38.447
Both genders;Andalucía;90th Percentile;2009;37.655,42
Both genders;Andalucía;90th Percentile;2008;35.105,72
Both genders;Aragón;Average;2024;28.061,94
Both genders;Aragón;Average;2023;26.822,32
Both genders;Aragón;Average;2022;26.012,71
Both genders;Aragón;Average;2021;25.011,55
Both genders;Aragón;Average;2020;24.113,57
Both genders;Aragón;Average;2019;23.565,09
Both genders;Aragón;Average;2018;23.531,83
Both genders;Aragón;Average;2017;23.039,94
Both genders;Aragón;Average;2016;22.248,76
Both genders;Aragón;Average;2015;22.327,18
Both genders;Aragón;Average;2014;22.095,79
Both genders;Aragón;Average;2013;22.054,85
Both genders;Aragón;Average;2012;22.103,79
Both genders;Aragón;Average;2011;22.333,53
Both genders;Aragón;Average;2010;22.316,69
Both genders;Aragón;Average;2009;22.133,77
Both genders;Aragón;Average;2008;21.594,47
Both genders;Aragón;10th Percentile;2024;12.053,34
Both genders;Aragón;10th Percentile;2023;11.335,81
Both genders;Aragón;10th Percentile;2022;10.359,5
Both genders;Aragón;10th Percentile;2021;10.781,83
Both genders;Aragón;10th Percentile;2020;10.127,54
Both genders;Aragón;10th Percentile;2019;8.931,4
Both genders;Aragón;10th Percentile;2018;8.337,6
Both genders;Aragón;10th Percentile;2017;9.082,3
Both genders;Aragón;10th Percentile;2016;7.896,6
Both genders;Aragón;10th Percentile;2015;7.875,69
Both genders;Aragón;10th Percentile;2014;7.799,43
Both genders;Aragón;10th Percentile;2013;7.735,35
Both genders;Aragón;10th Percentile;2012;8.216,38
Both genders;Aragón;10th Percentile;2011;8.863,66
Both genders;Aragón;10th Percentile;2010;8.683,56
Both genders;Aragón;10th Percentile;2009;8.641,36
Both genders;Aragón;10th Percentile;2008;9.051,37
Both genders;Aragón;25th Percentile;2024;18.356,18
Both genders;Aragón;25th Percentile;2023;17.680,58
Both genders;Aragón;25th Percentile;2022;16.970,82
Both genders;Aragón;25th Percentile;2021;16.054,72
Both genders;Aragón;25th Percentile;2020;15.580,27
Both genders;Aragón;25th Percentile;2019;14.826,55
Both genders;Aragón;25th Percentile;2018;14.672,57
Both genders;Aragón;25th Percentile;2017;14.438,76
Both genders;Aragón;25th Percentile;2016;13.664,48
Both genders;Aragón;25th Percentile;2015;13.424,35
Both genders;Aragón;25th Percentile;2014;13.853,64
Both genders;Aragón;25th Percentile;2013;13.415,54
Both genders;Aragón;25th Percentile;2012;13.688,48
Both genders;Aragón;25th Percentile;2011;14.044,52
Both genders;Aragón;25th Percentile;2010;14.176,97
Both genders;Aragón;25th Percentile;2009;14.051,02
Both genders;Aragón;25th Percentile;2008;13.875,48
Both genders;Aragón;50th Percentile;2024;24.936,2
Both genders;Aragón;50th Percentile;2023;23.675,82
Both genders;Aragón;50th Percentile;2022;22.734,18
Both genders;Aragón;50th Percentile;2021;22.220,28
Both genders;Aragón;50th Percentile;2020;21.207,6
Both genders;Aragón;50th Percentile;2019;20.604,72
Both genders;Aragón;50th Percentile;2018;20.859,78
Both genders;Aragón;50th Percentile;2017;20.198,39
Both genders;Aragón;50th Percentile;2016;19.417,81
Both genders;Aragón;50th Percentile;2015;19.589,29
Both genders;Aragón;50th Percentile;2014;19.539,86
Both genders;Aragón;50th Percentile;2013;19.094,86
Both genders;Aragón;50th Percentile;2012;19.094,81
Both genders;Aragón;50th Percentile;2011;19.646,75
Both genders;Aragón;50th Percentile;2010;19.552,41
Both genders;Aragón;50th Percentile;2009;19.413,22
Both genders;Aragón;50th Percentile;2008;19.084,91
Both genders;Aragón;75th Percentile;2024;34.535,16
Both genders;Aragón;75th Percentile;2023;33.172,02
Both genders;Aragón;75th Percentile;2022;32.303,15
Both genders;Aragón;75th Percentile;2021;30.845,88
Both genders;Aragón;75th Percentile;2020;29.570,53
Both genders;Aragón;75th Percentile;2019;29.645,5
Both genders;Aragón;75th Percentile;2018;29.477,35
Both genders;Aragón;75th Percentile;2017;28.708,75
Both genders;Aragón;75th Percentile;2016;27.990,4
Both genders;Aragón;75th Percentile;2015;28.144,48
Both genders;Aragón;75th Percentile;2014;27.934,08
Both genders;Aragón;75th Percentile;2013;27.796,12
Both genders;Aragón;75th Percentile;2012;27.034,53
Both genders;Aragón;75th Percentile;2011;27.779,87
Both genders;Aragón;75th Percentile;2010;27.478,9
Both genders;Aragón;75th Percentile;2009;27.052,27
Both genders;Aragón;75th Percentile;2008;26.580,39
Both genders;Aragón;90th Percentile;2024;45.912,52
Both genders;Aragón;90th Percentile;2023;43.153,49
Both genders;Aragón;90th Percentile;2022;42.781,78
Both genders;Aragón;90th Percentile;2021;41.280,28
Both genders;Aragón;90th Percentile;2020;40.093,52
Both genders;Aragón;90th Percentile;2019;40.084,06
Both genders;Aragón;90th Percentile;2018;39.844,4
Both genders;Aragón;90th Percentile;2017;39.100,8
Both genders;Aragón;90th Percentile;2016;38.305,12
Both genders;Aragón;90th Percentile;2015;39.085,72
Both genders;Aragón;90th Percentile;2014;37.273,45
Both genders;Aragón;90th Percentile;2013;38.702,21
Both genders;Aragón;90th Percentile;2012;38.756,84
Both genders;Aragón;90th Percentile;2011;38.723,33
Both genders;Aragón;90th Percentile;2010;39.028,27
Both genders;Aragón;90th Percentile;2009;38.392,52
Both genders;Aragón;90th Percentile;2008;36.579,8
Both genders;Asturias, Principado de;Average;2024;28.562,31
Both genders;Asturias, Principado de;Average;2023;27.916,6
Both genders;Asturias, Principado de;Average;2022;26.745,93
Both genders;Asturias, Principado de;Average;2021;25.046,6
Both genders;Asturias, Principado de;Average;2020;24.527,96
Both genders;Asturias, Principado de;Average;2019;24.865,89
Both genders;Asturias, Principado de;Average;2018;23.914,61
Both genders;Asturias, Principado de;Average;2017;23.609,67
Both genders;Asturias, Principado de;Average;2016;23.095,83
Both genders;Asturias, Principado de;Average;2015;22.826,06
Both genders;Asturias, Principado de;Average;2014;22.045,29
Both genders;Asturias, Principado de;Average;2013;21.994,99
Both genders;Asturias, Principado de;Average;2012;21.750,66
Both genders;Asturias, Principado de;Average;2011;22.286,48
Both genders;Asturias, Principado de;Average;2010;22.241,39
Both genders;Asturias, Principado de;Average;2009;22.597,97
Both genders;Asturias, Principado de;Average;2008;21.805,67
Both genders;Asturias, Principado de;10th Percentile;2024;11.058,23
Both genders;Asturias, Principado de;10th Percentile;2023;11.562,02
Both genders;Asturias, Principado de;10th Percentile;2022;10.609
Both genders;Asturias, Principado de;10th Percentile;2021;9.717,49
Both genders;Asturias, Principado de;10th Percentile;2020;8.830,44
Both genders;Asturias, Principado de;10th Percentile;2019;8.418,88
Both genders;Asturias, Principado de;10th Percentile;2018;7.716,53
Both genders;Asturias, Principado de;10th Percentile;2017;8.504,22
Both genders;Asturias, Principado de;10th Percentile;2016;7.591,08
Both genders;Asturias, Principado de;10th Percentile;2015;7.591,08
Both genders;Asturias, Principado de;10th Percentile;2014;7.226,86
Both genders;Asturias, Principado de;10th Percentile;2013;7.226,9
Both genders;Asturias, Principado de;10th Percentile;2012;7.538,76
Both genders;Asturias, Principado de;10th Percentile;2011;8.429,6
Both genders;Asturias, Principado de;10th Percentile;2010;8.783,94
Both genders;Asturias, Principado de;10th Percentile;2009;8.547,94
Both genders;Asturias, Principado de;10th Percentile;2008;8.634,04
Both genders;Asturias, Principado de;25th Percentile;2024;16.690,52
Both genders;Asturias, Principado de;25th Percentile;2023;16.519,81
Both genders;Asturias, Principado de;25th Percentile;2022;16.017,28
Both genders;Asturias, Principado de;25th Percentile;2021;14.682,96
Both genders;Asturias, Principado de;25th Percentile;2020;14.325,79
Both genders;Asturias, Principado de;25th Percentile;2019;14.330,92
Both genders;Asturias, Principado de;25th Percentile;2018;13.866
Both genders;Asturias, Principado de;25th Percentile;2017;13.482,98
Both genders;Asturias, Principado de;25th Percentile;2016;12.923,35
Both genders;Asturias, Principado de;25th Percentile;2015;13.042,22
Both genders;Asturias, Principado de;25th Percentile;2014;12.813
Both genders;Asturias, Principado de;25th Percentile;2013;12.401,25
Both genders;Asturias, Principado de;25th Percentile;2012;12.918,05
Both genders;Asturias, Principado de;25th Percentile;2011;13.658,6
Both genders;Asturias, Principado de;25th Percentile;2010;13.651,02
Both genders;Asturias, Principado de;25th Percentile;2009;13.687,68
Both genders;Asturias, Principado de;25th Percentile;2008;13.335,75
Both genders;Asturias, Principado de;50th Percentile;2024;24.196,64
Both genders;Asturias, Principado de;50th Percentile;2023;24.063,59
Both genders;Asturias, Principado de;50th Percentile;2022;23.001,52
Both genders;Asturias, Principado de;50th Percentile;2021;21.975,31
Both genders;Asturias, Principado de;50th Percentile;2020;21.331,73
Both genders;Asturias, Principado de;50th Percentile;2019;21.559,07
Both genders;Asturias, Principado de;50th Percentile;2018;20.890,13
Both genders;Asturias, Principado de;50th Percentile;2017;20.174,85
Both genders;Asturias, Principado de;50th Percentile;2016;20.081,25
Both genders;Asturias, Principado de;50th Percentile;2015;19.959,74
Both genders;Asturias, Principado de;50th Percentile;2014;19.212,77
Both genders;Asturias, Principado de;50th Percentile;2013;19.057,38
Both genders;Asturias, Principado de;50th Percentile;2012;18.784,7
Both genders;Asturias, Principado de;50th Percentile;2011;19.276,74
Both genders;Asturias, Principado de;50th Percentile;2010;19.055,8
Both genders;Asturias, Principado de;50th Percentile;2009;19.202,33
Both genders;Asturias, Principado de;50th Percentile;2008;18.697,53
Both genders;Asturias, Principado de;75th Percentile;2024;36.057,57
Both genders;Asturias, Principado de;75th Percentile;2023;35.282,61
Both genders;Asturias, Principado de;75th Percentile;2022;33.737,22
Both genders;Asturias, Principado de;75th Percentile;2021;32.393,76
Both genders;Asturias, Principado de;75th Percentile;2020;32.157,61
Both genders;Asturias, Principado de;75th Percentile;2019;31.564,56
Both genders;Asturias, Principado de;75th Percentile;2018;30.567,03
Both genders;Asturias, Principado de;75th Percentile;2017;30.079,2
Both genders;Asturias, Principado de;75th Percentile;2016;29.429,86
Both genders;Asturias, Principado de;75th Percentile;2015;29.058
Both genders;Asturias, Principado de;75th Percentile;2014;28.363,24
Both genders;Asturias, Principado de;75th Percentile;2013;28.486,67
Both genders;Asturias, Principado de;75th Percentile;2012;27.220,1
Both genders;Asturias, Principado de;75th Percentile;2011;27.940,97
Both genders;Asturias, Principado de;75th Percentile;2010;28.121,34
Both genders;Asturias, Principado de;75th Percentile;2009;28.041,4
Both genders;Asturias, Principado de;75th Percentile;2008;27.084,62
Both genders;Asturias, Principado de;90th Percentile;2024;51.000
Both genders;Asturias, Principado de;90th Percentile;2023;48.847,06
Both genders;Asturias, Principado de;90th Percentile;2022;47.499,44
Both genders;Asturias, Principado de;90th Percentile;2021;44.166,66
Both genders;Asturias, Principado de;90th Percentile;2020;44.010,39
Both genders;Asturias, Principado de;90th Percentile;2019;44.353,81
Both genders;Asturias, Principado de;90th Percentile;2018;43.057,06
Both genders;Asturias, Principado de;90th Percentile;2017;42.452,9
Both genders;Asturias, Principado de;90th Percentile;2016;41.032,42
Both genders;Asturias, Principado de;90th Percentile;2015;41.847,13
Both genders;Asturias, Principado de;90th Percentile;2014;39.870,62
Both genders;Asturias, Principado de;90th Percentile;2013;39.599,5
Both genders;Asturias, Principado de;90th Percentile;2012;38.796,83
Both genders;Asturias, Principado de;90th Percentile;2011;38.802,84
Both genders;Asturias, Principado de;90th Percentile;2010;38.782,2
Both genders;Asturias, Principado de;90th Percentile;2009;39.907,69
Both genders;Asturias, Principado de;90th Percentile;2008;38.359,61
Both genders;Balears, Illes;Average;2024;29.075,06
Both genders;Balears, Illes;Average;2023;27.537
Both genders;Balears, Illes;Average;2022;27.145,79
Both genders;Balears, Illes;Average;2021;24.134,73
Both genders;Balears, Illes;Average;2020;23.881,42
Both genders;Balears, Illes;Average;2019;23.325,33
Both genders;Balears, Illes;Average;2018;22.800,87
Both genders;Balears, Illes;Average;2017;22.036,46
Both genders;Balears, Illes;Average;2016;21.478,34
Both genders;Balears, Illes;Average;2015;21.395,42
Both genders;Balears, Illes;Average;2014;21.322,08
Both genders;Balears, Illes;Average;2013;20.776,29
Both genders;Balears, Illes;Average;2012;20.960,53
Both genders;Balears, Illes;Average;2011;21.351
Both genders;Balears, Illes;Average;2010;21.613,6
Both genders;Balears, Illes;Average;2009;21.070,14
Both genders;Balears, Illes;Average;2008;20.388,09
Both genders;Balears, Illes;10th Percentile;2024;14.986,07
Both genders;Balears, Illes;10th Percentile;2023;13.855,52
Both genders;Balears, Illes;10th Percentile;2022;13.389,86
Both genders;Balears, Illes;10th Percentile;2021;11.273,66
Both genders;Balears, Illes;10th Percentile;2020;10.875,23
Both genders;Balears, Illes;10th Percentile;2019;10.941,15
Both genders;Balears, Illes;10th Percentile;2018;9.613,53
Both genders;Balears, Illes;10th Percentile;2017;9.900,99
Both genders;Balears, Illes;10th Percentile;2016;8.594,84
Both genders;Balears, Illes;10th Percentile;2015;8.969,64
Both genders;Balears, Illes;10th Percentile;2014;9.312,05
Both genders;Balears, Illes;10th Percentile;2013;8.278,16
Both genders;Balears, Illes;10th Percentile;2012;8.588,24
Both genders;Balears, Illes;10th Percentile;2011;9.012,96
Both genders;Balears, Illes;10th Percentile;2010;9.219,76
Both genders;Balears, Illes;10th Percentile;2009;9.565,98
Both genders;Balears, Illes;10th Percentile;2008;9.619,14
Both genders;Balears, Illes;25th Percentile;2024;19.546,12
Both genders;Balears, Illes;25th Percentile;2023;18.424,75
Both genders;Balears, Illes;25th Percentile;2022;17.706,86
Both genders;Balears, Illes;25th Percentile;2021;16.248,48
Both genders;Balears, Illes;25th Percentile;2020;15.477,05
Both genders;Balears, Illes;25th Percentile;2019;15.535,23
Both genders;Balears, Illes;25th Percentile;2018;14.786,86
Both genders;Balears, Illes;25th Percentile;2017;14.735,55
Both genders;Balears, Illes;25th Percentile;2016;13.884,59
Both genders;Balears, Illes;25th Percentile;2015;14.201,02
Both genders;Balears, Illes;25th Percentile;2014;14.131,02
Both genders;Balears, Illes;25th Percentile;2013;13.765,16
Both genders;Balears, Illes;25th Percentile;2012;13.954,34
Both genders;Balears, Illes;25th Percentile;2011;14.209,9
Both genders;Balears, Illes;25th Percentile;2010;14.303,77
Both genders;Balears, Illes;25th Percentile;2009;14.008,65
Both genders;Balears, Illes;25th Percentile;2008;13.486,1
Both genders;Balears, Illes;50th Percentile;2024;24.962,01
Both genders;Balears, Illes;50th Percentile;2023;23.533,37
Both genders;Balears, Illes;50th Percentile;2022;23.134,21
Both genders;Balears, Illes;50th Percentile;2021;20.837,19
Both genders;Balears, Illes;50th Percentile;2020;20.241,15
Both genders;Balears, Illes;50th Percentile;2019;20.276,91
Both genders;Balears, Illes;50th Percentile;2018;20.121,18
Both genders;Balears, Illes;50th Percentile;2017;19.264,02
Both genders;Balears, Illes;50th Percentile;2016;18.847,22
Both genders;Balears, Illes;50th Percentile;2015;18.610
Both genders;Balears, Illes;50th Percentile;2014;18.714,35
Both genders;Balears, Illes;50th Percentile;2013;18.030,53
Both genders;Balears, Illes;50th Percentile;2012;18.088,52
Both genders;Balears, Illes;50th Percentile;2011;18.403,17
Both genders;Balears, Illes;50th Percentile;2010;18.406,42
Both genders;Balears, Illes;50th Percentile;2009;17.224,24
Both genders;Balears, Illes;50th Percentile;2008;16.813,32
Both genders;Balears, Illes;75th Percentile;2024;33.965,77
Both genders;Balears, Illes;75th Percentile;2023;31.985,32
Both genders;Balears, Illes;75th Percentile;2022;31.831,55
Both genders;Balears, Illes;75th Percentile;2021;28.132,58
Both genders;Balears, Illes;75th Percentile;2020;28.412,27
Both genders;Balears, Illes;75th Percentile;2019;27.414,33
Both genders;Balears, Illes;75th Percentile;2018;27.188,22
Both genders;Balears, Illes;75th Percentile;2017;25.520
Both genders;Balears, Illes;75th Percentile;2016;25.243,95
Both genders;Balears, Illes;75th Percentile;2015;24.966,72
Both genders;Balears, Illes;75th Percentile;2014;24.936,55
Both genders;Balears, Illes;75th Percentile;2013;24.592,1
Both genders;Balears, Illes;75th Percentile;2012;24.976,54
Both genders;Balears, Illes;75th Percentile;2011;25.427,19
Both genders;Balears, Illes;75th Percentile;2010;25.579,52
Both genders;Balears, Illes;75th Percentile;2009;24.095,07
Both genders;Balears, Illes;75th Percentile;2008;23.334,3
Both genders;Balears, Illes;90th Percentile;2024;47.715,88
Both genders;Balears, Illes;90th Percentile;2023;46.186,78
Both genders;Balears, Illes;90th Percentile;2022;44.537,89
Both genders;Balears, Illes;90th Percentile;2021;41.000,11
Both genders;Balears, Illes;90th Percentile;2020;41.125,61
Both genders;Balears, Illes;90th Percentile;2019;39.540,39
Both genders;Balears, Illes;90th Percentile;2018;38.503,92
Both genders;Balears, Illes;90th Percentile;2017;37.668,58
Both genders;Balears, Illes;90th Percentile;2016;37.025,02
Both genders;Balears, Illes;90th Percentile;2015;36.163,2
Both genders;Balears, Illes;90th Percentile;2014;35.283,25
Both genders;Balears, Illes;90th Percentile;2013;34.989,31
Both genders;Balears, Illes;90th Percentile;2012;35.224,61
Both genders;Balears, Illes;90th Percentile;2011;36.358,78
Both genders;Balears, Illes;90th Percentile;2010;36.976,78
Both genders;Balears, Illes;90th Percentile;2009;36.851,1
Both genders;Balears, Illes;90th Percentile;2008;35.047,39
Both genders;Canarias;Average;2024;25.120,38
Both genders;Canarias;Average;2023;24.033,57
Both genders;Canarias;Average;2022;23.096,92
Both genders;Canarias;Average;2021;22.466,23
Both genders;Canarias;Average;2020;21.631,17
Both genders;Canarias;Average;2019;20.861,14
Both genders;Canarias;Average;2018;20.763,48
Both genders;Canarias;Average;2017;20.185,33
Both genders;Canarias;Average;2016;19.749,03
Both genders;Canarias;Average;2015;19.856,61
Both genders;Canarias;Average;2014;19.436,48
